_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6a144552655b2abc62ac7b5e,false,53.88,96,53.88,68.03,48;0;0;0,words,10,-1,0,10.69,0,0,false,false,english,,normal,false,false,false,,1779713362000
6a144540655b2abc62ac7aab,false,47.84,96,47.84,56.96,48;0;0;0,words,10,-1,0,12.04,0,0,false,false,english,,normal,false,false,false,,1779713344000
6a144532655b2abc62ac7a34,false,67.78,100,67.78,85.26,53;0;0;0,words,10,-1,0,9.38,0,0,false,false,english,,normal,false,false,false,,1779713330000
6a144528655b2abc62ac79d3,false,65.53,100,65.53,86.08,54;0;0;0,words,10,-1,0,9.89,0,0,false,false,english,,normal,false,false,false,,1779713320000
6a1444fb655b2abc62ac77f3,false,56.19,95,56.19,65.01,56;0;0;0,words,10,-1,0,11.96,0,0,false,false,english,,normal,false,false,false,,1779713275000
6a144494655b2abc62ac73f7,false,57.75,100,57.75,66.37,51;0;0;0,words,10,-1,0,10.6,0,0,false,false,english,,normal,false,false,false,,1779713172000
6a144470655b2abc62ac729a,false,63.5,100,63.5,80.43,45;0;0;0,words,10,-1,0,8.5,0,0,false,false,english,,normal,false,false,false,,1779713136000
6a144435655b2abc62ac702c,false,62.47,100,62.47,78.47,55;0;0;0,words,10,-1,0,10.57,0,0,false,false,english,,normal,false,false,false,,1779713077000
6a144423655b2abc62ac6f6d,false,44.31,84.62,44.31,63.52,54;0;0;0,words,10,-1,0,14.62,0,0,false,false,english,,normal,false,false,false,,1779713059000
6a1443ec655b2abc62ac6d3b,false,51.13,95.48,51.91,68.12,521;2;0;0,words,100,-1,0,122.29,0,0,false,false,english,,normal,false,false,false,,1779713004000
6a144350655b2abc62ac6763,false,53.83,96.32,53.83,71.68,131;0;0;0,words,25,-1,0,29.21,0,0,false,false,english,,normal,false,false,false,,1779712848000
6a1442f7655b2abc62ac6426,false,51.25,93.66,51.25,58.65,133;0;0;0,words,25,-1,0,31.14,0,0,false,false,english,,normal,false,false,false,,1779712759000
6a1442c4655b2abc62ac6279,false,59.19,99.27,59.19,77.96,136;0;0;0,words,25,-1,0,27.57,0,0,false,false,english,,normal,false,false,false,,1779712708000
6a144284655b2abc62ac601a,false,58.16,99.26,58.16,74.81,135;0;0;0,words,25,-1,0,27.85,0,0,false,false,english,,normal,false,false,false,,1779712644000
6a14425c655b2abc62ac5ea0,false,52.69,96.24,52.69,71.93,127;0;0;0,words,25,-1,0,28.93,0,0,false,false,english,,normal,false,false,false,,1779712604000
6a144200655b2abc62ac5b4e,false,61.57,100,61.57,84.83,133;0;0;0,words,25,-1,0,25.92,0,0,false,false,english,,normal,false,false,false,,1779712512000
6a1441dc655b2abc62ac59e9,false,56.54,97.69,56.54,74.54,126;0;0;0,words,25,-1,0,26.74,0,0,false,false,english,,normal,false,false,false,,1779712476000
6a1441a6655b2abc62ac57ed,false,48.05,95.31,48.05,66.46,122;0;0;0,words,25,-1,0,30.47,0,0,false,false,english,,normal,false,false,false,,1779712422000
6a144180655b2abc62ac5677,false,24.06,93.87,24.06,8.32,152;0;0;0,words,25,-1,0,75.83,30,0,false,false,english,,normal,false,false,false,,1779712384000
6a14411c655b2abc62ac52fe,false,51.07,93.92,51.07,66.54,139;0;0;0,words,25,-1,0,32.66,0,0,false,false,english,,normal,false,false,false,,1779712284000
6a1440e6655b2abc62ac511d,false,48.74,96.92,50.34,68.29,122;0;0;1,words,25,-1,0,30.04,0,0,false,false,english,,normal,false,false,false,,1779712230000
6a14403d655b2abc62ac4a89,false,49.08,88.96,52.35,61.69,135;5;1;0,words,25,-1,0,33.01,0,0,false,false,english,,normal,false,false,false,,1779712061000
6a14400d655b2abc62ac48f4,false,53.6,97.62,53.6,75.36,123;0;0;0,words,25,-1,0,27.54,0,0,false,false,english,,normal,false,false,false,,1779712013000
6a143910655b2abc62ac07df,false,54.25,99.22,54.25,66.08,127;0;0;0,words,25,-1,0,28.09,0,0,false,false,english,,normal,false,false,false,,1779710224000
6a1438d9655b2abc62ac0593,false,49.85,97.16,49.85,61.64,137;0;0;0,words,25,-1,0,32.98,0,0,false,false,english,,normal,false,false,false,,1779710169000
6a143857655b2abc62ac002a,false,52.47,99.24,52.47,75.33,131;0;0;0,words,25,-1,0,29.96,0,0,false,false,english,,normal,false,false,false,,1779710039000
6a143810655b2abc62abfd64,false,46.51,96.21,46.51,67.92,127;0;0;0,words,25,-1,0,32.77,0,0,false,false,english,,normal,false,false,false,,1779709968000
6a14361d655b2abc62abeaa7,false,63.44,100,63.44,78.29,129;0;0;0,words,25,-1,0,24.4,0,0,false,false,english,,normal,false,false,false,,1779709469000
6a143600655b2abc62abe9bd,false,47.96,95.28,49.56,70.69,120;2;0;0,words,25,-1,0,30.03,0,0,false,false,english,,normal,false,false,false,,1779709440000
6a1435cd655b2abc62abe7dc,false,56.28,100,56.28,70.14,129;0;0;0,words,25,-1,0,27.51,1,0,false,false,english,,normal,false,false,false,,1779709389000
